Date,GN,SP 500
1/5/2021,"489,8","3732,04"
1/4/2021,"493,9","3727,04"
12/30/2020,"487,2","3735,36"
12/29/2020,"494,7","3703,06"
12/28/2020,486,"3690,01"
12/23/2020,485,"3687,26"
12/22/2020,"489,8","3694,92"
12/21/2020,"479,9","3709,41"
12/18/2020,"486,4","3722,48"
12/17/2020,"488,7","3701,17"
12/16/2020,"494,7","3694,62"
12/15/2020,485,"3647,49"
12/14/2020,"493,5","3663,46"
12/11/2020,"492,5","3668,1"
12/10/2020,"487,1","3672,82"
12/9/2020,"485,1","3702,25"
12/8/2020,"480,6","3691,96"
12/7/2020,477,"3699,12"
12/4/2020,474,"3666,72"
12/3/2020,"476,7","3669,01"
12/2/2020,488,"3662,45"
12/1/2020,"491,4","3621,63"
11/30/2020,508,"3638,35"
11/27/2020,"501,4","3629,65"
11/26/2020,"486,3","3635,41"
11/25/2020,"482,4","3577,59"
11/24/2020,"473,1","3557,54"
11/23/2020,"481,2","3581,87"
11/20/2020,"474,5","3567,79"
11/19/2020,"465,1","3609,53"
11/18/2020,"466,3","3626,91"
11/17/2020,480,"3585,15"
11/16/2020,481,"3537,01"
11/13/2020,"475,1","3572,66"
11/12/2020,"478,2","3545,53"
11/11/2020,466,"3550,5"
11/10/2020,"461,7","3509,44"
11/9/2020,"496,1","3510,45"
11/6/2020,"494,8","3443,44"
11/5/2020,"499,5","3369,16"
11/4/2020,"501,4","3310,24"
11/3/2020,"474,9","3269,96"
11/2/2020,460,"3310,11"
10/30/2020,"459,7","3271,03"
10/29/2020,456,"3390,68"
10/28/2020,"452,8","3400,97"
10/27/2020,"472,1","3465,39"
10/26/2020,"473,4","3453,49"
10/23/2020,"479,7","3435,56"
10/22/2020,"486,3","3443,12"
10/21/2020,"491,3","3426,92"
10/20/2020,"495,5","3483,81"
10/19/2020,"500,8","3483,34"
10/16/2020,"510,4","3488,67"
10/15/2020,"504,6","3511,93"
10/14/2020,"513,2","3534,22"
10/13/2020,"512,2","3477,13"
10/12/2020,"511,6","3446,83"
10/9/2020,509,"3419,45"
10/8/2020,"487,9","3360,95"
10/7/2020,"488,6","3408,63"
10/6/2020,486,"3348,44"
10/5/2020,"495,6","3380,8"
10/2/2020,"486,7",3363
10/1/2020,"493,7","3335,47"
9/30/2020,"480,8","3351,6"
9/29/2020,"486,4","3298,46"
9/28/2020,"484,7","3246,59"
9/25/2020,"466,4","3236,92"
9/24/2020,"465,2","3315,57"
9/23/2020,"473,3","3281,06"
9/22/2020,"473,1","3319,47"
9/21/2020,474,"3357,01"
9/18/2020,"491,9","3385,49"
9/17/2020,"482,1","3401,2"
9/16/2020,"479,1","3383,54"
9/15/2020,"472,8","3340,97"
9/14/2020,"460,7","3339,19"
9/11/2020,"457,5","3398,96"
9/10/2020,"454,5","3331,84"
9/9/2020,"452,8","3426,96"
9/8/2020,"444,3","3455,06"
9/7/2020,"451,9","3580,84"
9/4/2020,"438,9","3526,65"
9/3/2020,454,"3500,31"
9/2/2020,"460,3","3508,01"
9/1/2020,"449,9","3484,55"
8/31/2020,"451,9","3478,73"
8/28/2020,"443,8","3443,62"
8/27/2020,"448,5","3431,28"
8/26/2020,"446,2","3397,16"
8/25/2020,"435,8","3385,51"
8/24/2020,"433,8","3374,85"
8/21/2020,"435,1","3389,78"
8/20/2020,"435,2","3381,99"
8/19/2020,"435,6","3372,85"
8/18/2020,"410,1","3373,43"
8/17/2020,"409,8","3380,35"
8/14/2020,"404,4","3333,69"
8/13/2020,404,"3360,47"
8/12/2020,"409,9","3351,28"
8/11/2020,"403,5","3349,16"
8/10/2020,"396,1","3327,77"
8/7/2020,"403,6","3306,51"
8/6/2020,"399,6","3294,61"
8/5/2020,"394,6","3271,12"
8/4/2020,"382,6","3246,22"
8/3/2020,"396,5","3258,44"
7/31/2020,"385,5","3218,44"
7/30/2020,"386,5","3239,41"
7/29/2020,"394,1","3215,63"
7/28/2020,"389,2","3235,66"
7/27/2020,"384,7","3276,02"
7/24/2020,"380,4","3257,3"
7/23/2020,"390,1","3251,84"
7/22/2020,"392,3","3224,73"
7/21/2020,"391,7","3215,57"
7/20/2020,"389,6","3226,56"
7/17/2020,"379,3","3197,52"
7/16/2020,"377,2","3155,22"
7/15/2020,383,"3185,04"
7/14/2020,373,"3152,05"
7/13/2020,"377,3","3169,94"
7/10/2020,"375,5","3145,32"
7/9/2020,"379,4","3179,72"
7/8/2020,"376,5","3130,01"
7/7/2020,"370,4","3115,86"
7/6/2020,"375,4","3100,29"
7/3/2020,"367,9","3053,24"
7/2/2020,"365,6","3009,05"
7/1/2020,"358,5","3083,76"
6/30/2020,"353,4","3050,33"
6/29/2020,"360,2","3131,29"
6/26/2020,"357,5","3117,86"
6/25/2020,"355,2","3097,74"
6/24/2020,"361,9","3115,34"
6/23/2020,"368,1","3113,49"
6/22/2020,"364,6","3124,74"
6/19/2020,"370,2","3066,59"
6/18/2020,"358,5","3041,31"
6/17/2020,"365,5","3002,1"
6/16/2020,356,"3190,14"
6/15/2020,"347,8","3207,18"
6/12/2020,"351,8","3232,39"
6/11/2020,"351,8","3193,93"
6/10/2020,"358,8","3112,35"
6/9/2020,"359,7","3122,87"
6/8/2020,"366,7","3080,82"
6/4/2020,"364,6","3055,73"
6/3/2020,"362,3","3044,31"
6/2/2020,"359,9","3029,73"
5/29/2020,"361,7","3036,13"
5/28/2020,"350,1","2991,77"
5/27/2020,"337,2","2955,45"
5/26/2020,"350,1","2948,51"
5/25/2020,"357,4","2971,61"
5/20/2020,"344,9","2922,94"
5/19/2020,"337,9","2953,91"
5/18/2020,"330,6","2863,7"
5/15/2020,"320,2","2852,5"
5/14/2020,"318,6",2820
5/13/2020,"334,6","2870,12"
5/12/2020,"338,8","2930,32"
5/11/2020,"351,7","2929,8"
5/7/2020,"340,8","2881,19"
5/6/2020,"333,3","2848,42"
5/5/2020,"313,6","2868,44"
5/4/2020,"298,1","2842,74"
5/1/2020,"296,9","2830,71"
4/30/2020,"311,3","2912,43"
4/29/2020,315,"2939,51"
4/28/2020,"335,9","2863,39"
4/27/2020,"334,5","2878,48"
4/24/2020,"331,1","2836,74"
4/23/2020,"336,4","2797,8"
4/22/2020,"325,1","2799,31"
4/21/2020,"329,9","2736,56"
4/20/2020,"333,6","2823,16"
4/17/2020,"327,7","2874,56"
4/16/2020,323,"2799,55"
4/15/2020,"316,4","2783,36"
4/14/2020,"323,8","2846,06"
4/8/2020,"316,6","2761,63"
4/7/2020,"320,3","2789,82"
4/6/2020,"308,1","2749,98"
4/3/2020,"290,3","2659,41"
4/2/2020,"289,5","2663,68"
4/1/2020,293,"2488,65"
3/31/2020,"303,8","2526,9"
3/30/2020,"282,9","2470,5"
3/27/2020,280,"2584,59"
3/26/2020,"286,9","2626,65"
3/25/2020,"270,6","2541,47"
3/24/2020,"254,6","2630,07"
3/23/2020,"248,1","2475,56"
3/20/2020,"267,7","2447,33"
3/19/2020,"252,2","2237,4"
3/18/2020,245,"2304,92"
3/17/2020,"238,4","2409,39"
3/16/2020,"252,6","2398,1"
3/13/2020,"272,8","2529,19"
3/12/2020,"286,7","2386,13"
3/11/2020,"320,1","2711,02"
3/10/2020,340,"2480,64"
3/9/2020,"349,2","2741,38"
3/6/2020,"369,7","2882,23"
3/5/2020,"370,2","2746,56"
3/4/2020,"372,7","2972,37"
